                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.001,                 9.7132,                0.46837,                0.76732,                0.98316,                0.99032,                0.64286,                0.81315,                0.51028,                      0,                      0,                      0,                      0,                 1.5594,                 9.9236,                0.41066,                 1.2942,                 1.3431,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.0069,                 9.6887,                0.48014,                0.78146,                  1.014,                0.65646,                0.78571,                0.80928,                0.49418,                      0,                      0,                      0,                      0,                 1.4816,                  9.881,                0.39524,                 1.1789,                 1.3012,              0.0010347,              0.0010347,              0.0010347
                     25,                0.98691,                 9.6073,                0.39919,                0.78505,                 1.0191,                0.84324,                0.76946,                0.83505,                0.51222,                      0,                      0,                      0,                      0,                 1.4802,                  9.758,                 0.3717,                 1.1315,                 1.2725,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.0139,                 9.6035,                0.48081,                0.75275,                 1.0294,                      1,                0.70087,                0.84387,                0.42807,                      0,                      0,                      0,                      0,                 1.6718,                 9.7993,                0.35628,                 1.1418,                 1.3177,                0.00101,                0.00101,                0.00101
                     27,                0.96512,                 9.6187,                0.40303,                0.72491,                0.98815,                0.98605,                0.71429,                 0.8143,                0.49717,                      0,                      0,                      0,                      0,                 1.4368,                 9.7434,                0.34781,                 1.1699,                 1.2749,                0.00101,                0.00101,                0.00101
                     28,                 1.0099,                  9.582,                0.47716,                 0.8188,                 1.0282,                      1,                0.69995,                0.80168,                0.52418,                      0,                      0,                      0,                      0,                 1.3134,                 9.7704,                 0.3458,                  1.123,                  1.284,              0.0009704,              0.0009704,              0.0009704
                     29,                 0.8919,                 9.4128,                0.39045,                 0.6868,                0.96337,                0.90076,                0.71429,                0.80128,                0.57834,                      0,                      0,                      0,                      0,                 1.2667,                  9.706,                0.33701,                 1.1173,                 1.2948,              0.0009308,              0.0009308,              0.0009308
                     30,                0.80987,                 9.3421,                0.38401,                 0.6396,                0.94983,                0.99384,                0.71429,                0.83662,                0.54413,                      0,                      0,                      0,                      0,                 1.3381,                 9.6579,                0.32101,                 1.1377,                 1.2833,              0.0008912,              0.0008912,              0.0008912
                     31,                0.97505,                 9.2225,                0.40308,                0.74054,                 1.0243,                0.98059,                0.71429,                0.85246,                 0.5483,                      0,                      0,                      0,                      0,                 1.2893,                 9.6458,                0.31671,                  1.084,                  1.238,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.9071,                 9.2532,                0.43817,                0.68573,                 1.0071,                0.98644,                0.71429,                0.83437,                0.56207,                      0,                      0,                      0,                      0,                 1.1644,                  9.579,                0.31279,                  1.007,                 1.2153,               0.000812,               0.000812,               0.000812
